,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
7740,Kitchen Aroma,No,No,3.4/5,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",400
7741,Raj Sweets,No,No,NEW,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",200
7748,Ice Crystal Gola,No,No,NEW,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",100
7754,Amadora Gourmet Ice Cream & Sorbet,No,No,NEW,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",500
7755,Magic scoops N Smiles,No,No,NEW,"Donut, Double Trouble, Cup Cake, Chocolate Decadence, Choco Bomb",200
7756,Gilly's Restobar,No,Yes,4.4/5,"Mutton Biryani, Drunken Chicken, Chicken Biryani, Beer, Cocktails, Pasta, Onion Rings",1200
7757,Chulha Chauki Da Dhaba,Yes,No,4.1/5,"Lassi, Malai Kebab, Kadhai Mushroom, Lahori Chicken, Chicken Keema, Paneer Kofta, Ginger Chicken",800
7777,Chai Point,Yes,No,3.9/5,"Poha, Ginger Tea, Samosa, Ginger Chai, Banana Cake, Cake Rusk, Coffee",250
7798,Chef in,No,No,3.6/5,"Tandoori Chicken, Chicken Biryani, Naan, Dum Biryani, Sweet Lassi, Dal Tadka, Hyderabadi Biryani",500
7799,The Crunch,No,No,3.3/5,"Tandoori Chicken, Chicken Biryani, Naan, Dum Biryani, Sweet Lassi, Dal Tadka, Hyderabadi Biryani",300
7812,Taco Bell,Yes,No,4.0/5,"Nachos, Burrito, Rice Bowl, Pizza, Fiesta Potatoes, Chicken Burritos, Crispy Tacos",600
7815,Sai Foods,Yes,No,4.1/5,"Paratha, Gulab Jamun, Thali, Lassi, Kheer, Roti, Palak Paneer",200
7819,Five Star Chicken,Yes,No,3.7/5,"Burgers, Masala Fries, Wings",200
7821,Donne Biryani Mane,No,No,3.5/5,"Burgers, Masala Fries, Wings",250
7824,Real Fresh Dosa Corner,No,No,3.7/5,"Burgers, Masala Fries, Wings",200
7826,KFC,Yes,No,3.1/5,"Zinger Burger, Hot Wings, Chicken Wings, Crispy Chicken, Fries",450
7829,Mayura Sagar,No,No,3.6/5,"Panneer Butter Masala, Coffee, Tea, Idli, Manchurian, Vada, Thali",250
7832,Just Parathas,No,No,3.4/5,"Panneer Butter Masala, Coffee, Tea, Idli, Manchurian, Vada, Thali",250
7836,Sri Udupi Park,Yes,No,3.9/5,"Pav Bhaji, Coffee, Tea, Masala Dosa, Naan",400
7840,Chakh Le India,Yes,No,3.3/5,"Paratha, Chicken Parantha, Chicken Curry, Panneer Butter Masala",300
7842,Mayura Grand,No,No,3.9/5,"Masala Dosa, Tea, Onion Dosa, Vada, Rava Idli, Kesari Bath",350
7847,Domino's Pizza,No,No,3.7/5,Pizza,800
7850,Shreya Ranna Ghar,No,No,3.3/5,Pizza,350
7863,Treat,No,No,3.8/5,"Naan, Dal Makhani, Rice, Seekh Kebab, Butter Chicken, Sweet Lassi, Aam Panna",500
7864,Sri Fast Food,No,No,3.1/5,"Naan, Dal Makhani, Rice, Seekh Kebab, Butter Chicken, Sweet Lassi, Aam Panna",200
7867,Parvas Biriyani Park,No,No,NEW,"Naan, Dal Makhani, Rice, Seekh Kebab, Butter Chicken, Sweet Lassi, Aam Panna",400
7879,WOW! Momo,No,No,3.8/5,"Naan, Dal Makhani, Rice, Seekh Kebab, Butter Chicken, Sweet Lassi, Aam Panna",400
7882,Subway,Yes,No,3.8/5,"Naan, Dal Makhani, Rice, Seekh Kebab, Butter Chicken, Sweet Lassi, Aam Panna",600
7885,Biergarten,No,Yes,4.7/5,"Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Biryani, Cheesy Garlic Bread",2400
7886,Windmills Craftworks,No,No,4.6/5,"Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos",2500
7889,Oota Bangalore,No,No,4.6/5,"Cocktails, Craft Beer, Chicken Sukha, Murgh Ghee Roast, Biryani, Neer Dosa, Vada",1700
